input:,output:
Is the college public or private?,Fleming College Toronto was established through a public-private partnership between Sir Sandford Fleming College and Trebas Institute Ontario.
How many students attend Fleming College?,"Fleming College has more than 6,800 full-time and 10,000 part-time students, and 80,000 alumni."
How many strudents are there at Fleming?,"Fleming College has more than 6,800 full-time and 10,000 part-time students, and 80,000 alumni."
What is the college's ranking nationally or regionally?,"Fleming College has climbed to the 28th position on Canada’s Top 50 Research Colleges list, marking a significant advancement from last year’s 35th placement."
What is the college's ranking nationally?,"Fleming College has climbed to the 28th position on Canada’s Top 50 Research Colleges list, marking a significant advancement from last year’s 35th placement."
What is the college's ranking regionally?,"Fleming College has climbed to the 28th position on Canada’s Top 50 Research Colleges list, marking a significant advancement from last year’s 35th placement."
What is the campus size?,"Located on 200 acres in the City of Peterborough, Sutherland Campus is the largest Fleming College campus "
What does Fleming College have for programs?,"At Fleming College, we have 75+ full-time programs in Business and Information Technology, General Arts and Science, Health and Community Service, Trades and Technology."
Where can I find the Academic Schedule?,"The Academic Schedule can be access either through the Student Life section of your MyCampus portal under Academic Supports, or by going to flemingcollege.ca/admissions/academic-schedule"
How do I book at tutoring appointment?,"Tutoring can be booked through either navigating through the Student Life section of your MyCampus portal under Academic Supports, or by going to library.flemingcollege.ca/LearningSupports/home"
How do I look for sports?,A variety of Atheletics and Recreation opportunities can be found through the Student Life section of your MyCampus portal under the Atheletics and Recreation tab.
What sports are available?,A variety of Atheletics and Recreation opportunities can be found through the Student Life section of your MyCampus portal under the Atheletics and Recreation tab.
How do I access the bookstore?,"The Fleming Bookstore can be accessed in the C-Wing of the College by the main enteracnce, or online through the Student Life section of your MyCampus portal under the Campus Store tab."
Where do I go to buy my books?,"Your course Textbook List is located in your virtual Student Center on the left hand side of the screen. The Fleming Bookstore can be accessed in the C-Wing of the College by the main enteracnce, or online through the Student Life section of your MyCampus portal under the Campus Store tab."
How do I get help with my career?,"The Career Services here at Fleming are an excellent resource for helping prepare for your career after you graduate here at Fleming. They can be found through through either navigating through the Student Life section of your MyCampus portal under Career Services, or by going to department.flemingcollege.ca/careers/"
How do I get help with my resume?,"The Career Services here at Fleming are an excellent resource for helping prepare for your career after you graduate here at Fleming. They can be found through through either navigating through the Student Life section of your MyCampus portal under Career Services, or by going to department.flemingcollege.ca/careers/"
